[2026-06-13T09:44:51.592Z] GET https://www.pexels.com/search/refrigerator/ → pending (?ms, ?B)
[2026-06-13T09:44:54.549Z] GET https://www.pexels.com/search/refrigerator/ → 403 (232ms, 6232B)
[2026-06-13T09:44:54.849Z] GET https://www.pexels.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a0b028d26c3cfd08 → 200 (261ms, 189592B)
[2026-06-13T09:44:55.137Z] GET blob:https://www.pexels.com/c3d553df-0e05-49d5-83f8-88248b7706f5 → pending (?ms, ?B)
[2026-06-13T09:44:55.153Z] GET https://challenges.cloudflare.com/turnstile/v0/g/8fc8ed1d8752/api.js?onload=NoWu9&render=explicit → pending (?ms, ?B)
[2026-06-13T09:44:55.291Z] POST https://www.pexels.com/cdn-cgi/challenge-platform/h/g/flow/ov1/2401521928:1781341516:lkudjNszGQruQLQh_qZ8roe1Qvb08whVuSUtI-kuPu0/a0b028d26c3cfd08/nFZd..Iq54mdoz51F5ZXGb7SD0kfDzi6X6u1L0Ue36s-1781343895-1.2.1.1-5TGh_zqoJJskH5ssh0pQKf9awP7LfrOvuYpM5WeNmzaYwbzeIY8yJyj76ntRcGpo → 200 (120ms, 21612B)
[2026-06-13T09:44:55.404Z] GET blob:https://www.pexels.com/1b7096e6-245b-40d0-8c5a-c3eb76eaab1e → 200 (13ms, 292B)
[2026-06-13T09:44:55.828Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/aospn/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → 200 (148ms, ?B)
[2026-06-13T09:44:55.832Z] POST https://csp.canva.com/_cspreport?app=pexels&ro=true&policyHash=e8a0625b → pending (?ms, ?B)
[2026-06-13T09:44:56.032Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → pending (?ms, ?B)
[2026-06-13T09:44:56.294Z] GET blob:https://challenges.cloudflare.com/7c4dd0ab-210c-448f-85cb-d8af9723bd74 → pending (?ms, ?B)
[2026-06-13T09:44:56.457Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/2263422595:1781341518:5JpK6o0VDIov6UOZX9dOXIyD9niM7i5dlt3oGR2X--Y/a0b028dab973f910/xyV4ylDnHtrTHdBfT3G0slQs_4gqyryht3QylwxcFhQ-1781343896-1.2.1.1-ouZ9qJqIAN4uHdn_mHJxzZnfYX6u_jWozFRlR9BWEJ2Wc84IJ4aN4maLNvLRe195 → 200 (259ms, ?B)
[2026-06-13T09:44:57.362Z] GET blob:https://challenges.cloudflare.com/b2afe467-c932-42b8-9eb4-43823bf22d64 → 200 (15ms, 292B)
