video_id,published_at,title,duration_sec,is_short,views,likes,comments,like_rate_pct,comment_rate_pct,tags,url
doWgS6TRXIY,2026-07-12T14:00:14Z,Signing Up: 10 Seconds. Cancelling: a Vision Quest.,29,1,212,3,0,1.415,0.0,,https://youtu.be/doWgS6TRXIY
Q0acqguJIXA,2026-06-28T16:00:03Z,Why Some Products Won't Let You Fix Them 🔒,27,1,113,1,0,0.885,0.0,,https://youtu.be/Q0acqguJIXA
hifk6ww_lxo,2026-06-26T09:51:15Z,Your $9 Chair Is Hiding Something 😳,29,1,105,3,0,2.857,0.0,,https://youtu.be/hifk6ww_lxo
7Hudw7NIMZ8,2026-07-14T14:00:33Z,They Put Your Car's Heated Seats Behind a Monthly Fee,22,1,92,0,0,0.0,0.0,,https://youtu.be/7Hudw7NIMZ8
9ockqMJ6uzw,2026-07-03T14:00:28Z,"Why We All Say ""Busy""?",25,1,88,1,0,1.136,0.0,,https://youtu.be/9ockqMJ6uzw
Ybtt6jYXU6M,2026-06-30T14:00:34Z,Why You Keep Re-Buying the Same Thing?,22,1,81,1,0,1.235,0.0,,https://youtu.be/Ybtt6jYXU6M
TelR7RQ_Q_w,2026-07-13T14:00:00Z,The Product Was Never the App. It's Your Forgetting.,22,1,64,1,0,1.562,0.0,,https://youtu.be/TelR7RQ_Q_w
bPGbA8b03yY,2026-07-05T14:00:29Z,Why Looking Busy Beats Thinking?,28,1,62,0,0,0.0,0.0,,https://youtu.be/bPGbA8b03yY
VMZe5QoFXj8,2026-06-24T15:55:19Z,Why Cheap Products Keep Getting Worse?,252,0,40,0,0,0.0,0.0,,https://youtu.be/VMZe5QoFXj8
DjMIsjBbfDI,2026-07-10T14:00:12Z,"Your ""Free Trial"" Is a Countdown",33,1,37,0,0,0.0,0.0,,https://youtu.be/DjMIsjBbfDI
SPx7cRa3Wp0,2026-07-07T14:00:08Z,Why Real Work Looks Like Doing Nothing?,21,1,34,0,0,0.0,0.0,,https://youtu.be/SPx7cRa3Wp0
zkV1KWd8sLI,2026-07-15T14:00:06Z,Why Countries Fight to Host the World Cup (and Lose Billions),435,0,23,2,0,8.696,0.0,,https://youtu.be/zkV1KWd8sLI
_MtgZY-syHM,2026-07-08T14:00:32Z,Why Everything Is a Subscription Now?,329,0,20,0,0,0.0,0.0,,https://youtu.be/_MtgZY-syHM
_LenNeppBiw,2026-07-01T14:00:03Z,Why Everyone Pretends To Be Busy?,266,0,19,0,0,0.0,0.0,,https://youtu.be/_LenNeppBiw
