rank	video_id	duration	views	age	image_quality	title
01	p0OuWdIEUv4	35:24	3.2K views	21 hours ago	maxresdefault	What Happned When Ancient Humans Discovered Fire?
02	h2MjNEw0YxM	32:00	3.5K views	1 day ago	maxresdefault	The DARKEST Survival Methods Used By Ancient Humans To Survive Ice Age Winters
03	ni9dfloMvek	32:00	5K views	2 days ago	maxresdefault	What Did Ancient Humans Do With People Who Heard Voices?
04	MDa6ZFH9XIo	25:32	31K views	3 days ago	maxresdefault	Why Ancient Humans Couldn't Afford to Lose Their Grandparents
05	xxHvuA7i7K8	27:52	17K views	4 days ago	maxresdefault	The Terrifying Sound Every Ancient Human Recognized
06	k4ZKvJd_ZJw	34:49	3.7K views	5 days ago	maxresdefault	What Did Ancient Humans Do If They Were Injured Far From Home?
07	iYub7rFKhE8	26:20	31K views	7 days ago	maxresdefault	How Did Ancient Humans Sleep Through Endless Rain?
08	yssC3OO1fPE	30:57	2.7K views	7 days ago	maxresdefault	The Largest Animals Hunted by Ancient Humans
09	jmtwXEI2KtY	30:49	27K views	10 days ago	maxresdefault	What Happened After Ancient Humans Killed a Mammoth?
10	KsiU8bLFrkk	33:09	8.2K views	12 days ago	maxresdefault	The Worst Place to Spend One Night During the Ice Age
11	Y2f5hmzS-bs	25:28	5.9K views	2 weeks ago	maxresdefault	What Did Ancient Humans Do When a Predator Followed Them Home?
12	lDzNtUcAGa0	31:27	3.6K views	2 weeks ago	maxresdefault	What Did Ancient Humans Do When Their Cave Flooded?
13	ZgjaWjHbUDw	32:49	13K views	2 weeks ago	maxresdefault	The Deadliest Mistake Ice Age Humans Ever Made
14	mBhEbiA375U	31:20	11K views	2 weeks ago	maxresdefault	What Happened If Ancient Humans Lost Their Tribe?
15	BZA-s-ALxmI	29:55	5.7K views	2 weeks ago	maxresdefault	What Happened When a Prehistoric Child Made Their First Kill?
16	xFyBOzXXD08	26:55	20K views	3 weeks ago	maxresdefault	How Did Ancient Humans Hunt During Weeks of Rain?
17	AGgVn9InFdA	30:18	62K views	3 weeks ago	maxresdefault	How Did Ancient Humans Keep Fire Alive in Endless Rain?
18	YKq-IjmQSh8	26:38	9.4K views	3 weeks ago	maxresdefault	Why Did Ancient Humans Walk Straight Into the Ice?
19	C0oXQgdbyOg	26:30	39K views	3 weeks ago	maxresdefault	What Did Humans Do During Ice Age Summers?
20	RDgdwV6fXvg	25:00	57K views	4 weeks ago	maxresdefault	Why Ancient Humans Couldn't Survive Without Grandparents
21	gKGDKDNtz8Y	29:39	27K views	1 month ago	maxresdefault	A Day In The Life Of An Ice Age Human
22	GLwwy67xVHE	24:13	2.7K views	1 month ago	maxresdefault	Ancient Humans Had Perfect Focus - Here's Exactly What Destroyed Yours
23	mnMUWv6w-1w	24:44	7.2K views	1 month ago	maxresdefault	Why Ancient Humans Slept Inside Dead Animals
24	PkDWrydX9Gg	26:22	36K views	1 month ago	maxresdefault	SHOCKING Reason Why Predators Feared Ancient Humans Even in Their Sleep
25	RlhWT97Cl9w	19:24	2.9K views	1 month ago	maxresdefault	Why Didn't Ice Age Babies Freeze to Death?
26	LawvvlYT9T8	28:49	14K views	1 month ago	maxresdefault	How Did Ancient Humans Actually Find Water During the Ice Age?
27	WKA5KFS1GNU	23:48	11K views	1 month ago	maxresdefault	How Did Humans Actually Eat During the Ice Age at -40 C?
28	cr6lhGksat4	24:01	13K views	1 month ago	maxresdefault	How Did Ancient Humans ACTUALLY Survive -40 C Winters Without Heaters?
29	o7OysKlxfGQ	25:40	22K views	1 month ago	maxresdefault	How Did Humans Actually Sleep In The Ice Age Without Freezing To Death?
30	AMlOV55o6mQ	18:05	2.4K views	1 month ago	maxresdefault	Why Ancient Humans Would've Died Without Animals (Shocking Truth!!)
31	qFePAcuMnvE	30:12	101K views	1 month ago	maxresdefault	The CRAZIEST Survival Methods Used by Ancient Humans During the Ice Age (MUST WATCH!!)
32	daPwO72k2u4	9:15	3.2K views	1 month ago	maxresdefault	How Did Ancient Humans Face A Terrifying Death In The Dark?
33	zTxhD2iCTP0	14:09	1.1K views	1 month ago	maxresdefault	The Darkest Things Ancient Humans Did To Survive
34	uPkmNl_I3aw	8:54	2.8K views	1 month ago	maxresdefault	Why Did Ancient Humans Split Into Different Colors
35	btbL0gnLOu4	17:16	7K views	1 month ago	maxresdefault	How Ancient Humans Actually Kept Their Children Alive Against Odds
36	UmMhk2nmdus	12:28	2.5K views	1 month ago	maxresdefault	Why Did Ancient Humans Fear This More Than Death?
37	v562ZDFRjkE	8:41	8.2K views	1 month ago	maxresdefault	How Did Ancient Humans Deal With Hygiene Before?
38	Poco59Ojnmc	9:55	1.5K views	1 month ago	maxresdefault	What Did Ancient Humans Eat When the Food Ran Out?
39	2xiAreVNkpI	10:55	1.4K views	1 month ago	maxresdefault	The Dark Secret Ancient Humans Took To The Grave
40	Mn-wRBUe2W4	8:47	5.7K views	2 months ago	maxresdefault	The Desperate Strategy of Ancient Humans That Saved Them From Extinction
