frame,timestamp,seconds,source_video_frame,file
1,00:00.00,0.00,0,frame-001_00m00.00s.jpg
2,00:09.57,9.57,287,frame-002_00m09.57s.jpg
3,00:16.50,16.50,495,frame-003_00m16.50s.jpg
4,00:19.43,19.43,583,frame-004_00m19.43s.jpg
5,00:22.10,22.10,663,frame-005_00m22.10s.jpg
6,00:23.33,23.33,700,frame-006_00m23.33s.jpg
7,00:23.40,23.40,702,frame-007_00m23.40s.jpg
8,00:26.87,26.87,806,frame-008_00m26.87s.jpg
9,00:26.93,26.93,808,frame-009_00m26.93s.jpg
10,00:28.00,28.00,840,frame-010_00m28.00s.jpg
11,00:34.63,34.63,1039,frame-011_00m34.63s.jpg
12,00:39.67,39.67,1190,frame-012_00m39.67s.jpg
13,00:47.27,47.27,1418,frame-013_00m47.27s.jpg
14,00:49.27,49.27,1478,frame-014_00m49.27s.jpg
15,00:50.13,50.13,1504,frame-015_00m50.13s.jpg
16,00:54.03,54.03,1621,frame-016_00m54.03s.jpg
17,00:57.57,57.57,1727,frame-017_00m57.57s.jpg
18,01:03.43,63.43,1903,frame-018_01m03.43s.jpg
19,01:06.87,66.87,2006,frame-019_01m06.87s.jpg
20,01:08.67,68.67,2060,frame-020_01m08.67s.jpg
21,01:10.33,70.33,2110,frame-021_01m10.33s.jpg
22,01:13.67,73.67,2210,frame-022_01m13.67s.jpg
23,01:24.10,84.10,2523,frame-023_01m24.10s.jpg
24,01:26.40,86.40,2592,frame-024_01m26.40s.jpg
25,01:27.10,87.10,2613,frame-025_01m27.10s.jpg
26,01:41.00,101.00,3030,frame-026_01m41.00s.jpg
27,01:42.83,102.83,3085,frame-027_01m42.83s.jpg
28,01:43.77,103.77,3113,frame-028_01m43.77s.jpg
29,01:46.23,106.23,3187,frame-029_01m46.23s.jpg
30,01:47.10,107.10,3213,frame-030_01m47.10s.jpg
31,01:54.67,114.67,3440,frame-031_01m54.67s.jpg
32,01:58.30,118.30,3549,frame-032_01m58.30s.jpg
33,02:01.37,121.37,3641,frame-033_02m01.37s.jpg
34,02:02.97,122.97,3689,frame-034_02m02.97s.jpg
35,02:07.17,127.17,3815,frame-035_02m07.17s.jpg
36,02:10.87,130.87,3926,frame-036_02m10.87s.jpg
37,02:14.33,134.33,4030,frame-037_02m14.33s.jpg
38,02:18.27,138.27,4148,frame-038_02m18.27s.jpg
39,02:20.47,140.47,4214,frame-039_02m20.47s.jpg
40,02:22.20,142.20,4266,frame-040_02m22.20s.jpg
41,02:28.93,148.93,4468,frame-041_02m28.93s.jpg
42,02:33.27,153.27,4598,frame-042_02m33.27s.jpg
43,02:37.57,157.57,4727,frame-043_02m37.57s.jpg
44,02:44.17,164.17,4925,frame-044_02m44.17s.jpg
45,02:45.17,165.17,4955,frame-045_02m45.17s.jpg
46,02:46.37,166.37,4991,frame-046_02m46.37s.jpg
47,02:53.90,173.90,5217,frame-047_02m53.90s.jpg
48,02:57.33,177.33,5320,frame-048_02m57.33s.jpg
49,03:03.90,183.90,5517,frame-049_03m03.90s.jpg
50,03:08.07,188.07,5642,frame-050_03m08.07s.jpg
51,03:09.07,189.07,5672,frame-051_03m09.07s.jpg
52,03:14.30,194.30,5829,frame-052_03m14.30s.jpg
53,03:14.87,194.87,5846,frame-053_03m14.87s.jpg
54,03:14.97,194.97,5849,frame-054_03m14.97s.jpg
