frame,timestamp,seconds,source_video_frame,file
1,00:00.00,0.00,0,frame-001_00m00.00s.jpg
2,00:02.21,2.21,55,frame-002_00m02.21s.jpg
3,00:04.41,4.41,110,frame-003_00m04.41s.jpg
4,00:06.50,6.50,162,frame-004_00m06.50s.jpg
5,00:09.63,9.63,240,frame-005_00m09.63s.jpg
6,00:13.32,13.32,332,frame-006_00m13.32s.jpg
7,00:17.50,17.50,436,frame-007_00m17.50s.jpg
8,00:18.82,18.82,469,frame-008_00m18.82s.jpg
9,00:21.35,21.35,532,frame-009_00m21.35s.jpg
10,00:21.95,21.95,547,frame-010_00m21.95s.jpg
11,00:25.16,25.16,627,frame-011_00m25.16s.jpg
12,00:26.97,26.97,672,frame-012_00m26.97s.jpg
13,00:27.81,27.81,693,frame-013_00m27.81s.jpg
14,00:30.58,30.58,762,frame-014_00m30.58s.jpg
15,00:33.67,33.67,839,frame-015_00m33.67s.jpg
16,00:37.36,37.36,931,frame-016_00m37.36s.jpg
17,00:38.97,38.97,971,frame-017_00m38.97s.jpg
18,00:41.66,41.66,1038,frame-018_00m41.66s.jpg
19,00:44.66,44.66,1113,frame-019_00m44.66s.jpg
20,00:46.43,46.43,1157,frame-020_00m46.43s.jpg
21,00:48.28,48.28,1203,frame-021_00m48.28s.jpg
22,00:51.37,51.37,1280,frame-022_00m51.37s.jpg
23,00:54.82,54.82,1366,frame-023_00m54.82s.jpg
24,00:56.38,56.38,1405,frame-024_00m56.38s.jpg
25,00:59.03,59.03,1471,frame-025_00m59.03s.jpg
26,01:02.60,62.60,1560,frame-026_01m02.60s.jpg
27,01:06.17,66.17,1649,frame-027_01m06.17s.jpg
28,01:07.94,67.94,1693,frame-028_01m07.94s.jpg
29,01:11.47,71.47,1781,frame-029_01m11.47s.jpg
30,01:15.48,75.48,1881,frame-030_01m15.48s.jpg
31,01:19.06,79.06,1970,frame-031_01m19.06s.jpg
32,01:21.58,81.58,2033,frame-032_01m21.58s.jpg
33,01:24.71,84.71,2111,frame-033_01m24.71s.jpg
34,01:28.08,88.08,2195,frame-034_01m28.08s.jpg
35,01:31.34,91.34,2276,frame-035_01m31.34s.jpg
36,01:36.27,96.27,2399,frame-036_01m36.27s.jpg
37,01:38.96,98.96,2466,frame-037_01m38.96s.jpg
38,01:41.57,101.57,2531,frame-038_01m41.57s.jpg
39,01:44.46,104.46,2603,frame-039_01m44.46s.jpg
40,01:46.87,106.87,2663,frame-040_01m46.87s.jpg
41,01:49.92,109.92,2739,frame-041_01m49.92s.jpg
42,01:52.69,112.69,2808,frame-042_01m52.69s.jpg
43,01:56.82,116.82,2911,frame-043_01m56.82s.jpg
44,02:01.07,121.07,3017,frame-044_02m01.07s.jpg
45,02:05.93,125.93,3138,frame-045_02m05.93s.jpg
46,02:08.98,128.98,3214,frame-046_02m08.98s.jpg
47,02:09.98,129.98,3239,frame-047_02m09.98s.jpg
48,02:13.35,133.35,3323,frame-048_02m13.35s.jpg
49,02:15.36,135.36,3373,frame-049_02m15.36s.jpg
50,02:18.81,138.81,3459,frame-050_02m18.81s.jpg
51,02:19.85,139.85,3485,frame-051_02m19.85s.jpg
52,02:22.66,142.66,3555,frame-052_02m22.66s.jpg
53,02:25.15,145.15,3617,frame-053_02m25.15s.jpg
54,02:28.00,148.00,3688,frame-054_02m28.00s.jpg
55,02:30.13,150.13,3741,frame-055_02m30.13s.jpg
56,02:31.53,151.53,3776,frame-056_02m31.53s.jpg
57,02:35.46,155.46,3874,frame-057_02m35.46s.jpg
58,02:37.47,157.47,3924,frame-058_02m37.47s.jpg
59,02:39.96,159.96,3986,frame-059_02m39.96s.jpg
60,02:43.61,163.61,4077,frame-060_02m43.61s.jpg
61,02:47.14,167.14,4165,frame-061_02m47.14s.jpg
62,02:50.79,170.79,4256,frame-062_02m50.79s.jpg
63,02:53.72,173.72,4329,frame-063_02m53.72s.jpg
64,02:56.25,176.25,4392,frame-064_02m56.25s.jpg
65,02:59.18,179.18,4465,frame-065_02m59.18s.jpg
66,03:02.31,182.31,4543,frame-066_03m02.31s.jpg
67,03:04.48,184.48,4597,frame-067_03m04.48s.jpg
68,03:05.80,185.80,4630,frame-068_03m05.80s.jpg
69,03:11.06,191.06,4761,frame-069_03m11.06s.jpg
70,03:13.43,193.43,4820,frame-070_03m13.43s.jpg
71,03:16.80,196.80,4904,frame-071_03m16.80s.jpg
72,03:20.53,200.53,4997,frame-072_03m20.53s.jpg
73,03:23.46,203.46,5070,frame-073_03m23.46s.jpg
74,03:25.79,205.79,5128,frame-074_03m25.79s.jpg
75,03:28.72,208.72,5201,frame-075_03m28.72s.jpg
76,03:31.04,211.04,5259,frame-076_03m31.04s.jpg
77,03:33.05,213.05,5309,frame-077_03m33.05s.jpg
78,03:35.22,215.22,5363,frame-078_03m35.22s.jpg
79,03:36.50,216.50,5395,frame-079_03m36.50s.jpg
80,03:39.55,219.55,5471,frame-080_03m39.55s.jpg
81,03:42.88,222.88,5554,frame-081_03m42.88s.jpg
82,03:45.65,225.65,5623,frame-082_03m45.65s.jpg
83,03:47.82,227.82,5677,frame-083_03m47.82s.jpg
84,03:50.35,230.35,5740,frame-084_03m50.35s.jpg
85,03:52.96,232.96,5805,frame-085_03m52.96s.jpg
86,03:55.64,235.64,5872,frame-086_03m55.64s.jpg
87,03:59.38,239.38,5965,frame-087_03m59.38s.jpg
88,04:00.58,240.58,5995,frame-088_04m00.58s.jpg
89,04:05.07,245.07,6107,frame-089_04m05.07s.jpg
90,04:08.32,248.32,6188,frame-090_04m08.32s.jpg
91,04:11.25,251.25,6261,frame-091_04m11.25s.jpg
92,04:13.82,253.82,6325,frame-092_04m13.82s.jpg
93,04:15.43,255.43,6365,frame-093_04m15.43s.jpg
94,04:18.44,258.44,6440,frame-094_04m18.44s.jpg
95,04:22.41,262.41,6539,frame-095_04m22.41s.jpg
96,04:26.30,266.30,6636,frame-096_04m26.30s.jpg
97,04:27.67,267.67,6670,frame-097_04m27.67s.jpg
98,04:31.56,271.56,6767,frame-098_04m31.56s.jpg
99,04:34.37,274.37,6837,frame-099_04m34.37s.jpg
100,04:36.46,276.46,6889,frame-100_04m36.46s.jpg
101,04:38.66,278.66,6944,frame-101_04m38.66s.jpg
102,04:40.99,280.99,7002,frame-102_04m40.99s.jpg
103,04:43.76,283.76,7071,frame-103_04m43.76s.jpg
104,04:45.93,285.93,7125,frame-104_04m45.93s.jpg
105,04:48.29,288.29,7184,frame-105_04m48.29s.jpg
106,04:51.58,291.58,7266,frame-106_04m51.58s.jpg
107,04:53.71,293.71,7319,frame-107_04m53.71s.jpg
108,04:57.52,297.52,7414,frame-108_04m57.52s.jpg
