frame,timestamp,seconds,source_video_frame,file
1,00:00.00,0.00,0,frame-001_00m00.00s.jpg
2,00:01.65,1.65,41,frame-002_00m01.65s.jpg
3,00:05.46,5.46,136,frame-003_00m05.46s.jpg
4,00:08.11,8.11,202,frame-004_00m08.11s.jpg
5,00:10.20,10.20,254,frame-005_00m10.20s.jpg
6,00:12.85,12.85,320,frame-006_00m12.85s.jpg
7,00:15.62,15.62,389,frame-007_00m15.62s.jpg
8,00:17.18,17.18,428,frame-008_00m17.18s.jpg
9,00:18.95,18.95,472,frame-009_00m18.95s.jpg
10,00:23.85,23.85,594,frame-010_00m23.85s.jpg
11,00:24.85,24.85,619,frame-011_00m24.85s.jpg
12,00:26.70,26.70,665,frame-012_00m26.70s.jpg
13,00:28.11,28.11,700,frame-013_00m28.11s.jpg
14,00:31.16,31.16,776,frame-014_00m31.16s.jpg
15,00:34.65,34.65,863,frame-015_00m34.65s.jpg
16,00:37.42,37.42,932,frame-016_00m37.42s.jpg
17,00:40.76,40.76,1015,frame-017_00m40.76s.jpg
18,00:42.00,42.00,1046,frame-018_00m42.00s.jpg
19,00:44.29,44.29,1103,frame-019_00m44.29s.jpg
20,00:46.05,46.05,1147,frame-020_00m46.05s.jpg
21,00:48.30,48.30,1203,frame-021_00m48.30s.jpg
22,00:51.52,51.52,1283,frame-022_00m51.52s.jpg
23,00:53.28,53.28,1327,frame-023_00m53.28s.jpg
24,00:56.01,56.01,1395,frame-024_00m56.01s.jpg
25,00:58.34,58.34,1453,frame-025_00m58.34s.jpg
26,01:00.55,60.55,1508,frame-026_01m00.55s.jpg
27,01:02.92,62.92,1567,frame-027_01m02.92s.jpg
28,01:06.65,66.65,1660,frame-028_01m06.65s.jpg
29,01:09.91,69.91,1741,frame-029_01m09.91s.jpg
30,01:12.80,72.80,1813,frame-030_01m12.80s.jpg
31,01:15.61,75.61,1883,frame-031_01m15.61s.jpg
32,01:18.66,78.66,1959,frame-032_01m18.66s.jpg
33,01:22.03,82.03,2043,frame-033_01m22.03s.jpg
34,01:25.56,85.56,2131,frame-034_01m25.56s.jpg
35,01:27.97,87.97,2191,frame-035_01m27.97s.jpg
36,01:29.82,89.82,2237,frame-036_01m29.82s.jpg
37,01:34.24,94.24,2347,frame-037_01m34.24s.jpg
38,01:37.13,97.13,2419,frame-038_01m37.13s.jpg
39,01:39.90,99.90,2489,frame-039_01m39.90s.jpg
40,01:42.35,102.35,2550,frame-040_01m42.35s.jpg
41,01:44.64,104.64,2607,frame-041_01m44.64s.jpg
42,01:48.21,108.21,2696,frame-042_01m48.21s.jpg
43,01:51.58,111.58,2780,frame-043_01m51.58s.jpg
44,01:54.23,114.23,2846,frame-044_01m54.23s.jpg
45,01:57.00,117.00,2915,frame-045_01m57.00s.jpg
46,01:58.53,118.53,2953,frame-046_01m58.53s.jpg
47,02:00.98,120.98,3014,frame-047_02m00.98s.jpg
48,02:03.03,123.03,3065,frame-048_02m03.03s.jpg
