frame,timestamp,seconds,source_video_frame,file
1,00:00.00,0.00,0,frame-001_00m00.00s.jpg
2,00:01.80,1.80,54,frame-002_00m01.80s.jpg
3,00:02.63,2.63,79,frame-003_00m02.63s.jpg
4,00:04.00,4.00,120,frame-004_00m04.00s.jpg
5,00:05.60,5.60,168,frame-005_00m05.60s.jpg
6,00:07.50,7.50,225,frame-006_00m07.50s.jpg
7,00:08.87,8.87,266,frame-007_00m08.87s.jpg
8,00:10.77,10.77,323,frame-008_00m10.77s.jpg
9,00:12.83,12.83,385,frame-009_00m12.83s.jpg
10,00:15.77,15.77,473,frame-010_00m15.77s.jpg
11,00:16.77,16.77,503,frame-011_00m16.77s.jpg
12,00:17.30,17.30,519,frame-012_00m17.30s.jpg
13,00:17.80,17.80,534,frame-013_00m17.80s.jpg
14,00:19.03,19.03,571,frame-014_00m19.03s.jpg
15,00:20.40,20.40,612,frame-015_00m20.40s.jpg
16,00:22.80,22.80,684,frame-016_00m22.80s.jpg
17,00:24.90,24.90,747,frame-017_00m24.90s.jpg
18,00:26.23,26.23,787,frame-018_00m26.23s.jpg
19,00:28.40,28.40,852,frame-019_00m28.40s.jpg
20,00:29.13,29.13,874,frame-020_00m29.13s.jpg
21,00:30.57,30.57,917,frame-021_00m30.57s.jpg
22,00:31.87,31.87,956,frame-022_00m31.87s.jpg
23,00:34.43,34.43,1033,frame-023_00m34.43s.jpg
24,00:35.83,35.83,1075,frame-024_00m35.83s.jpg
25,00:37.77,37.77,1133,frame-025_00m37.77s.jpg
26,00:38.97,38.97,1169,frame-026_00m38.97s.jpg
27,00:39.97,39.97,1199,frame-027_00m39.97s.jpg
28,00:41.77,41.77,1253,frame-028_00m41.77s.jpg
29,00:44.20,44.20,1326,frame-029_00m44.20s.jpg
30,00:47.50,47.50,1425,frame-030_00m47.50s.jpg
31,00:47.70,47.70,1431,frame-031_00m47.70s.jpg
32,00:47.90,47.90,1437,frame-032_00m47.90s.jpg
33,00:48.13,48.13,1444,frame-033_00m48.13s.jpg
34,00:48.50,48.50,1455,frame-034_00m48.50s.jpg
35,00:48.90,48.90,1467,frame-035_00m48.90s.jpg
36,00:49.30,49.30,1479,frame-036_00m49.30s.jpg
37,00:49.67,49.67,1490,frame-037_00m49.67s.jpg
38,00:50.27,50.27,1508,frame-038_00m50.27s.jpg
39,00:51.93,51.93,1558,frame-039_00m51.93s.jpg
40,00:55.03,55.03,1651,frame-040_00m55.03s.jpg
41,00:56.00,56.00,1680,frame-041_00m56.00s.jpg
42,00:56.57,56.57,1697,frame-042_00m56.57s.jpg
43,00:57.20,57.20,1716,frame-043_00m57.20s.jpg
44,00:57.93,57.93,1738,frame-044_00m57.93s.jpg
45,00:58.70,58.70,1761,frame-045_00m58.70s.jpg
46,00:59.83,59.83,1795,frame-046_00m59.83s.jpg
47,01:01.17,61.17,1835,frame-047_01m01.17s.jpg
48,01:03.90,63.90,1917,frame-048_01m03.90s.jpg
49,01:07.83,67.83,2035,frame-049_01m07.83s.jpg
50,01:08.47,68.47,2054,frame-050_01m08.47s.jpg
51,01:11.90,71.90,2157,frame-051_01m11.90s.jpg
52,01:15.17,75.17,2255,frame-052_01m15.17s.jpg
53,01:17.10,77.10,2313,frame-053_01m17.10s.jpg
54,01:20.23,80.23,2407,frame-054_01m20.23s.jpg
55,01:22.10,82.10,2463,frame-055_01m22.10s.jpg
56,01:25.37,85.37,2561,frame-056_01m25.37s.jpg
57,01:27.27,87.27,2618,frame-057_01m27.27s.jpg
58,01:29.50,89.50,2685,frame-058_01m29.50s.jpg
59,01:29.97,89.97,2699,frame-059_01m29.97s.jpg
60,01:31.17,91.17,2735,frame-060_01m31.17s.jpg
61,01:33.60,93.60,2808,frame-061_01m33.60s.jpg
62,01:36.10,96.10,2883,frame-062_01m36.10s.jpg
63,01:38.23,98.23,2947,frame-063_01m38.23s.jpg
64,01:39.77,99.77,2993,frame-064_01m39.77s.jpg
65,01:46.53,106.53,3196,frame-065_01m46.53s.jpg
66,01:47.60,107.60,3228,frame-066_01m47.60s.jpg
67,01:49.77,109.77,3293,frame-067_01m49.77s.jpg
68,01:52.90,112.90,3387,frame-068_01m52.90s.jpg
69,01:55.33,115.33,3460,frame-069_01m55.33s.jpg
70,01:56.00,116.00,3480,frame-070_01m56.00s.jpg
71,01:56.43,116.43,3493,frame-071_01m56.43s.jpg
72,01:57.23,117.23,3517,frame-072_01m57.23s.jpg
73,01:59.10,119.10,3573,frame-073_01m59.10s.jpg
74,02:01.60,121.60,3648,frame-074_02m01.60s.jpg
75,02:02.87,122.87,3686,frame-075_02m02.87s.jpg
76,02:04.90,124.90,3747,frame-076_02m04.90s.jpg
77,02:06.40,126.40,3792,frame-077_02m06.40s.jpg
78,02:08.07,128.07,3842,frame-078_02m08.07s.jpg
79,02:08.67,128.67,3860,frame-079_02m08.67s.jpg
80,02:11.90,131.90,3957,frame-080_02m11.90s.jpg
81,02:14.33,134.33,4030,frame-081_02m14.33s.jpg
82,02:16.20,136.20,4086,frame-082_02m16.20s.jpg
