frame,timestamp,seconds,source_video_frame,file
1,00:00.00,0.00,0,frame-001_00m00.00s.jpg
2,00:02.20,2.20,66,frame-002_00m02.20s.jpg
3,00:04.10,4.10,123,frame-003_00m04.10s.jpg
4,00:05.37,5.37,161,frame-004_00m05.37s.jpg
5,00:06.63,6.63,199,frame-005_00m06.63s.jpg
6,00:08.27,8.27,248,frame-006_00m08.27s.jpg
7,00:10.13,10.13,304,frame-007_00m10.13s.jpg
8,00:11.13,11.13,334,frame-008_00m11.13s.jpg
9,00:12.17,12.17,365,frame-009_00m12.17s.jpg
10,00:14.03,14.03,421,frame-010_00m14.03s.jpg
11,00:14.83,14.83,445,frame-011_00m14.83s.jpg
12,00:17.17,17.17,515,frame-012_00m17.17s.jpg
13,00:18.03,18.03,541,frame-013_00m18.03s.jpg
14,00:19.13,19.13,574,frame-014_00m19.13s.jpg
15,00:21.57,21.57,647,frame-015_00m21.57s.jpg
16,00:22.60,22.60,678,frame-016_00m22.60s.jpg
17,00:23.77,23.77,713,frame-017_00m23.77s.jpg
18,00:26.27,26.27,788,frame-018_00m26.27s.jpg
19,00:27.67,27.67,830,frame-019_00m27.67s.jpg
20,00:30.47,30.47,914,frame-020_00m30.47s.jpg
21,00:31.67,31.67,950,frame-021_00m31.67s.jpg
22,00:33.27,33.27,998,frame-022_00m33.27s.jpg
23,00:33.83,33.83,1015,frame-023_00m33.83s.jpg
24,00:35.60,35.60,1068,frame-024_00m35.60s.jpg
25,00:36.53,36.53,1096,frame-025_00m36.53s.jpg
26,00:38.13,38.13,1144,frame-026_00m38.13s.jpg
27,00:39.50,39.50,1185,frame-027_00m39.50s.jpg
28,00:40.90,40.90,1227,frame-028_00m40.90s.jpg
29,00:42.63,42.63,1279,frame-029_00m42.63s.jpg
30,00:43.63,43.63,1309,frame-030_00m43.63s.jpg
31,00:44.47,44.47,1334,frame-031_00m44.47s.jpg
32,00:47.60,47.60,1428,frame-032_00m47.60s.jpg
33,00:48.60,48.60,1458,frame-033_00m48.60s.jpg
34,00:53.03,53.03,1591,frame-034_00m53.03s.jpg
35,00:54.87,54.87,1646,frame-035_00m54.87s.jpg
36,00:55.87,55.87,1676,frame-036_00m55.87s.jpg
37,00:57.70,57.70,1731,frame-037_00m57.70s.jpg
38,00:59.23,59.23,1777,frame-038_00m59.23s.jpg
39,01:02.13,62.13,1864,frame-039_01m02.13s.jpg
40,01:02.83,62.83,1885,frame-040_01m02.83s.jpg
41,01:04.63,64.63,1939,frame-041_01m04.63s.jpg
42,01:05.80,65.80,1974,frame-042_01m05.80s.jpg
43,01:08.63,68.63,2059,frame-043_01m08.63s.jpg
44,01:09.80,69.80,2094,frame-044_01m09.80s.jpg
45,01:10.93,70.93,2128,frame-045_01m10.93s.jpg
46,01:11.83,71.83,2155,frame-046_01m11.83s.jpg
47,01:14.17,74.17,2225,frame-047_01m14.17s.jpg
48,01:16.80,76.80,2304,frame-048_01m16.80s.jpg
49,01:17.90,77.90,2337,frame-049_01m17.90s.jpg
50,01:19.67,79.67,2390,frame-050_01m19.67s.jpg
51,01:21.93,81.93,2458,frame-051_01m21.93s.jpg
52,01:22.93,82.93,2488,frame-052_01m22.93s.jpg
53,01:24.17,84.17,2525,frame-053_01m24.17s.jpg
54,01:25.43,85.43,2563,frame-054_01m25.43s.jpg
55,01:27.60,87.60,2628,frame-055_01m27.60s.jpg
56,01:31.00,91.00,2730,frame-056_01m31.00s.jpg
57,01:34.03,94.03,2821,frame-057_01m34.03s.jpg
58,01:36.90,96.90,2907,frame-058_01m36.90s.jpg
59,01:38.00,98.00,2940,frame-059_01m38.00s.jpg
60,01:40.70,100.70,3021,frame-060_01m40.70s.jpg
61,01:42.20,102.20,3066,frame-061_01m42.20s.jpg
62,01:42.93,102.93,3088,frame-062_01m42.93s.jpg
63,01:44.80,104.80,3144,frame-063_01m44.80s.jpg
64,01:48.50,108.50,3255,frame-064_01m48.50s.jpg
65,01:49.93,109.93,3298,frame-065_01m49.93s.jpg
66,01:50.93,110.93,3328,frame-066_01m50.93s.jpg
67,01:52.27,112.27,3368,frame-067_01m52.27s.jpg
68,01:54.63,114.63,3439,frame-068_01m54.63s.jpg
69,01:57.00,117.00,3510,frame-069_01m57.00s.jpg
70,01:58.80,118.80,3564,frame-070_01m58.80s.jpg
71,02:01.30,121.30,3639,frame-071_02m01.30s.jpg
72,02:03.13,123.13,3694,frame-072_02m03.13s.jpg
73,02:06.27,126.27,3788,frame-073_02m06.27s.jpg
74,02:10.03,130.03,3901,frame-074_02m10.03s.jpg
75,02:11.80,131.80,3954,frame-075_02m11.80s.jpg
76,02:13.50,133.50,4005,frame-076_02m13.50s.jpg
77,02:14.17,134.17,4025,frame-077_02m14.17s.jpg
78,02:14.80,134.80,4044,frame-078_02m14.80s.jpg
79,02:15.27,135.27,4058,frame-079_02m15.27s.jpg
80,02:19.17,139.17,4175,frame-080_02m19.17s.jpg
81,02:20.17,140.17,4205,frame-081_02m20.17s.jpg
82,02:22.10,142.10,4263,frame-082_02m22.10s.jpg
83,02:23.13,143.13,4294,frame-083_02m23.13s.jpg
84,02:24.80,144.80,4344,frame-084_02m24.80s.jpg
85,02:26.90,146.90,4407,frame-085_02m26.90s.jpg
86,02:30.33,150.33,4510,frame-086_02m30.33s.jpg
