frame,timestamp,seconds,source_video_frame,file
1,00:00.00,0.00,0,frame-001_00m00.00s.jpg
2,00:02.10,2.10,63,frame-002_00m02.10s.jpg
3,00:11.43,11.43,343,frame-003_00m11.43s.jpg
4,00:19.87,19.87,596,frame-004_00m19.87s.jpg
5,00:27.67,27.67,830,frame-005_00m27.67s.jpg
6,00:34.53,34.53,1036,frame-006_00m34.53s.jpg
7,00:47.67,47.67,1430,frame-007_00m47.67s.jpg
8,00:52.67,52.67,1580,frame-008_00m52.67s.jpg
9,00:56.23,56.23,1687,frame-009_00m56.23s.jpg
10,01:11.13,71.13,2134,frame-010_01m11.13s.jpg
11,01:14.20,74.20,2226,frame-011_01m14.20s.jpg
12,01:22.67,82.67,2480,frame-012_01m22.67s.jpg
13,01:27.30,87.30,2619,frame-013_01m27.30s.jpg
14,01:29.17,89.17,2675,frame-014_01m29.17s.jpg
15,01:37.97,97.97,2939,frame-015_01m37.97s.jpg
16,01:42.50,102.50,3075,frame-016_01m42.50s.jpg
17,01:52.13,112.13,3364,frame-017_01m52.13s.jpg
18,01:57.07,117.07,3512,frame-018_01m57.07s.jpg
19,02:15.27,135.27,4058,frame-019_02m15.27s.jpg
20,02:25.10,145.10,4353,frame-020_02m25.10s.jpg
21,02:33.83,153.83,4615,frame-021_02m33.83s.jpg
22,02:40.27,160.27,4808,frame-022_02m40.27s.jpg
23,02:44.10,164.10,4923,frame-023_02m44.10s.jpg
24,02:47.17,167.17,5015,frame-024_02m47.17s.jpg
25,02:55.63,175.63,5269,frame-025_02m55.63s.jpg
26,03:03.53,183.53,5506,frame-026_03m03.53s.jpg
27,03:09.17,189.17,5675,frame-027_03m09.17s.jpg
28,03:16.70,196.70,5901,frame-028_03m16.70s.jpg
29,03:20.33,200.33,6010,frame-029_03m20.33s.jpg
30,03:34.03,214.03,6421,frame-030_03m34.03s.jpg
31,03:41.47,221.47,6644,frame-031_03m41.47s.jpg
32,03:52.97,232.97,6989,frame-032_03m52.97s.jpg
33,03:56.50,236.50,7095,frame-033_03m56.50s.jpg
34,04:01.20,241.20,7236,frame-034_04m01.20s.jpg
35,04:09.93,249.93,7498,frame-035_04m09.93s.jpg
36,04:20.57,260.57,7817,frame-036_04m20.57s.jpg
37,04:29.70,269.70,8091,frame-037_04m29.70s.jpg
38,04:41.37,281.37,8441,frame-038_04m41.37s.jpg
39,04:48.37,288.37,8651,frame-039_04m48.37s.jpg
40,04:50.10,290.10,8703,frame-040_04m50.10s.jpg
41,04:52.43,292.43,8773,frame-041_04m52.43s.jpg
42,05:00.63,300.63,9019,frame-042_05m00.63s.jpg
43,05:10.67,310.67,9320,frame-043_05m10.67s.jpg
44,05:16.00,316.00,9480,frame-044_05m16.00s.jpg
45,05:24.50,324.50,9735,frame-045_05m24.50s.jpg
46,05:30.20,330.20,9906,frame-046_05m30.20s.jpg
47,05:37.03,337.03,10111,frame-047_05m37.03s.jpg
48,05:46.90,346.90,10407,frame-048_05m46.90s.jpg
49,05:54.73,354.73,10642,frame-049_05m54.73s.jpg
50,05:58.37,358.37,10751,frame-050_05m58.37s.jpg
51,06:09.00,369.00,11070,frame-051_06m09.00s.jpg
52,06:15.13,375.13,11254,frame-052_06m15.13s.jpg
53,06:24.03,384.03,11521,frame-053_06m24.03s.jpg
54,06:37.70,397.70,11931,frame-054_06m37.70s.jpg
55,06:43.13,403.13,12094,frame-055_06m43.13s.jpg
56,06:57.83,417.83,12535,frame-056_06m57.83s.jpg
57,07:03.93,423.93,12718,frame-057_07m03.93s.jpg
58,07:07.93,427.93,12838,frame-058_07m07.93s.jpg
59,07:16.77,436.77,13103,frame-059_07m16.77s.jpg
60,07:35.70,455.70,13671,frame-060_07m35.70s.jpg
61,07:47.50,467.50,14025,frame-061_07m47.50s.jpg
