frame,timestamp,seconds,source_video_frame,file
1,00:00.00,0.00,0,frame-001_00m00.00s.jpg
2,00:00.63,0.63,38,frame-002_00m00.63s.jpg
3,00:01.50,1.50,90,frame-003_00m01.50s.jpg
4,00:02.50,2.50,150,frame-004_00m02.50s.jpg
5,00:03.23,3.23,194,frame-005_00m03.23s.jpg
6,00:04.00,4.00,240,frame-006_00m04.00s.jpg
7,00:04.57,4.57,274,frame-007_00m04.57s.jpg
8,00:05.20,5.20,312,frame-008_00m05.20s.jpg
9,00:05.80,5.80,348,frame-009_00m05.80s.jpg
10,00:07.07,7.07,424,frame-010_00m07.07s.jpg
11,00:07.90,7.90,474,frame-011_00m07.90s.jpg
12,00:08.67,8.67,520,frame-012_00m08.67s.jpg
13,00:10.13,10.13,608,frame-013_00m10.13s.jpg
14,00:11.20,11.20,672,frame-014_00m11.20s.jpg
15,00:12.30,12.30,738,frame-015_00m12.30s.jpg
16,00:13.23,13.23,794,frame-016_00m13.23s.jpg
17,00:15.53,15.53,932,frame-017_00m15.53s.jpg
18,00:17.47,17.47,1048,frame-018_00m17.47s.jpg
19,00:19.53,19.53,1172,frame-019_00m19.53s.jpg
20,00:20.40,20.40,1224,frame-020_00m20.40s.jpg
21,00:21.47,21.47,1288,frame-021_00m21.47s.jpg
22,00:22.50,22.50,1350,frame-022_00m22.50s.jpg
23,00:23.63,23.63,1418,frame-023_00m23.63s.jpg
24,00:25.00,25.00,1500,frame-024_00m25.00s.jpg
25,00:26.23,26.23,1574,frame-025_00m26.23s.jpg
26,00:27.27,27.27,1636,frame-026_00m27.27s.jpg
27,00:28.50,28.50,1710,frame-027_00m28.50s.jpg
28,00:30.80,30.80,1848,frame-028_00m30.80s.jpg
29,00:31.97,31.97,1918,frame-029_00m31.97s.jpg
30,00:34.47,34.47,2068,frame-030_00m34.47s.jpg
31,00:36.47,36.47,2188,frame-031_00m36.47s.jpg
32,00:37.67,37.67,2260,frame-032_00m37.67s.jpg
33,00:38.23,38.23,2294,frame-033_00m38.23s.jpg
34,00:40.27,40.27,2416,frame-034_00m40.27s.jpg
35,00:42.87,42.87,2572,frame-035_00m42.87s.jpg
36,00:43.80,43.80,2628,frame-036_00m43.80s.jpg
37,00:45.10,45.10,2706,frame-037_00m45.10s.jpg
38,00:47.70,47.70,2862,frame-038_00m47.70s.jpg
39,00:49.13,49.13,2948,frame-039_00m49.13s.jpg
40,00:51.37,51.37,3082,frame-040_00m51.37s.jpg
41,00:52.67,52.67,3160,frame-041_00m52.67s.jpg
42,00:53.50,53.50,3210,frame-042_00m53.50s.jpg
43,00:54.80,54.80,3288,frame-043_00m54.80s.jpg
44,00:56.07,56.07,3364,frame-044_00m56.07s.jpg
45,00:58.43,58.43,3506,frame-045_00m58.43s.jpg
46,00:59.97,59.97,3598,frame-046_00m59.97s.jpg
47,01:00.60,60.60,3636,frame-047_01m00.60s.jpg
48,01:02.23,62.23,3734,frame-048_01m02.23s.jpg
49,01:04.00,64.00,3840,frame-049_01m04.00s.jpg
50,01:05.87,65.87,3952,frame-050_01m05.87s.jpg
