frame,timestamp,seconds,source_video_frame,file
1,00:00.00,0.00,0,frame-001_00m00.00s.jpg
2,00:00.10,0.10,3,frame-002_00m00.10s.jpg
3,00:00.37,0.37,11,frame-003_00m00.37s.jpg
4,00:00.63,0.63,19,frame-004_00m00.63s.jpg
5,00:01.27,1.27,38,frame-005_00m01.27s.jpg
6,00:01.47,1.47,44,frame-006_00m01.47s.jpg
7,00:01.60,1.60,48,frame-007_00m01.60s.jpg
8,00:03.13,3.13,94,frame-008_00m03.13s.jpg
9,00:03.97,3.97,119,frame-009_00m03.97s.jpg
10,00:04.77,4.77,143,frame-010_00m04.77s.jpg
11,00:05.53,5.53,166,frame-011_00m05.53s.jpg
12,00:06.37,6.37,191,frame-012_00m06.37s.jpg
13,00:08.50,8.50,255,frame-013_00m08.50s.jpg
14,00:09.93,9.93,298,frame-014_00m09.93s.jpg
15,00:10.90,10.90,327,frame-015_00m10.90s.jpg
16,00:11.93,11.93,358,frame-016_00m11.93s.jpg
17,00:13.60,13.60,408,frame-017_00m13.60s.jpg
18,00:14.93,14.93,448,frame-018_00m14.93s.jpg
19,00:15.93,15.93,478,frame-019_00m15.93s.jpg
20,00:17.03,17.03,511,frame-020_00m17.03s.jpg
21,00:19.20,19.20,576,frame-021_00m19.20s.jpg
22,00:26.47,26.47,794,frame-022_00m26.47s.jpg
23,00:26.83,26.83,805,frame-023_00m26.83s.jpg
24,00:27.00,27.00,810,frame-024_00m27.00s.jpg
25,00:27.30,27.30,819,frame-025_00m27.30s.jpg
26,00:27.87,27.87,836,frame-026_00m27.87s.jpg
27,00:28.17,28.17,845,frame-027_00m28.17s.jpg
28,00:28.50,28.50,855,frame-028_00m28.50s.jpg
29,00:29.50,29.50,885,frame-029_00m29.50s.jpg
30,00:33.17,33.17,995,frame-030_00m33.17s.jpg
31,00:37.60,37.60,1128,frame-031_00m37.60s.jpg
32,00:41.47,41.47,1244,frame-032_00m41.47s.jpg
33,00:42.60,42.60,1278,frame-033_00m42.60s.jpg
34,00:43.63,43.63,1309,frame-034_00m43.63s.jpg
35,00:45.57,45.57,1367,frame-035_00m45.57s.jpg
36,00:50.83,50.83,1525,frame-036_00m50.83s.jpg
37,00:56.23,56.23,1687,frame-037_00m56.23s.jpg
38,00:56.27,56.27,1688,frame-038_00m56.27s.jpg
39,01:02.77,62.77,1883,frame-039_01m02.77s.jpg
40,01:03.43,63.43,1903,frame-040_01m03.43s.jpg
41,01:08.50,68.50,2055,frame-041_01m08.50s.jpg
42,01:10.63,70.63,2119,frame-042_01m10.63s.jpg
43,01:15.40,75.40,2262,frame-043_01m15.40s.jpg
44,01:16.73,76.73,2302,frame-044_01m16.73s.jpg
45,01:21.03,81.03,2431,frame-045_01m21.03s.jpg
46,01:22.63,82.63,2479,frame-046_01m22.63s.jpg
47,01:24.37,84.37,2531,frame-047_01m24.37s.jpg
48,01:28.23,88.23,2647,frame-048_01m28.23s.jpg
49,01:30.07,90.07,2702,frame-049_01m30.07s.jpg
50,01:31.63,91.63,2749,frame-050_01m31.63s.jpg
51,01:33.63,93.63,2809,frame-051_01m33.63s.jpg
52,01:37.00,97.00,2910,frame-052_01m37.00s.jpg
53,01:39.27,99.27,2978,frame-053_01m39.27s.jpg
54,01:41.10,101.10,3033,frame-054_01m41.10s.jpg
55,01:41.73,101.73,3052,frame-055_01m41.73s.jpg
56,01:47.03,107.03,3211,frame-056_01m47.03s.jpg
57,01:50.43,110.43,3313,frame-057_01m50.43s.jpg
58,01:50.87,110.87,3326,frame-058_01m50.87s.jpg
59,01:53.33,113.33,3400,frame-059_01m53.33s.jpg
60,01:58.33,118.33,3550,frame-060_01m58.33s.jpg
61,02:00.23,120.23,3607,frame-061_02m00.23s.jpg
62,02:02.97,122.97,3689,frame-062_02m02.97s.jpg
63,02:04.40,124.40,3732,frame-063_02m04.40s.jpg
64,02:05.57,125.57,3767,frame-064_02m05.57s.jpg
65,02:07.97,127.97,3839,frame-065_02m07.97s.jpg
66,02:12.27,132.27,3968,frame-066_02m12.27s.jpg
67,02:13.70,133.70,4011,frame-067_02m13.70s.jpg
68,02:15.30,135.30,4059,frame-068_02m15.30s.jpg
69,02:15.47,135.47,4064,frame-069_02m15.47s.jpg
70,02:15.97,135.97,4079,frame-070_02m15.97s.jpg
71,02:16.27,136.27,4088,frame-071_02m16.27s.jpg
72,02:16.77,136.77,4103,frame-072_02m16.77s.jpg
73,02:17.07,137.07,4112,frame-073_02m17.07s.jpg
74,02:20.73,140.73,4222,frame-074_02m20.73s.jpg
75,02:23.30,143.30,4299,frame-075_02m23.30s.jpg
76,02:26.70,146.70,4401,frame-076_02m26.70s.jpg
77,02:30.73,150.73,4522,frame-077_02m30.73s.jpg
78,02:32.60,152.60,4578,frame-078_02m32.60s.jpg
79,02:35.80,155.80,4674,frame-079_02m35.80s.jpg
80,02:38.90,158.90,4767,frame-080_02m38.90s.jpg
81,02:42.40,162.40,4872,frame-081_02m42.40s.jpg
82,02:43.60,163.60,4908,frame-082_02m43.60s.jpg
83,02:45.83,165.83,4975,frame-083_02m45.83s.jpg
84,02:48.97,168.97,5069,frame-084_02m48.97s.jpg
85,02:53.07,173.07,5192,frame-085_02m53.07s.jpg
86,02:56.83,176.83,5305,frame-086_02m56.83s.jpg
87,02:57.67,177.67,5330,frame-087_02m57.67s.jpg
88,02:58.27,178.27,5348,frame-088_02m58.27s.jpg
89,02:59.23,179.23,5377,frame-089_02m59.23s.jpg
90,02:59.50,179.50,5385,frame-090_02m59.50s.jpg
91,03:00.27,180.27,5408,frame-091_03m00.27s.jpg
92,03:02.03,182.03,5461,frame-092_03m02.03s.jpg
93,03:07.40,187.40,5622,frame-093_03m07.40s.jpg
94,03:08.83,188.83,5665,frame-094_03m08.83s.jpg
95,03:11.03,191.03,5731,frame-095_03m11.03s.jpg
96,03:12.90,192.90,5787,frame-096_03m12.90s.jpg
97,03:15.97,195.97,5879,frame-097_03m15.97s.jpg
98,03:22.77,202.77,6083,frame-098_03m22.77s.jpg
99,03:28.13,208.13,6244,frame-099_03m28.13s.jpg
100,03:30.27,210.27,6308,frame-100_03m30.27s.jpg
101,03:35.00,215.00,6450,frame-101_03m35.00s.jpg
102,03:38.03,218.03,6541,frame-102_03m38.03s.jpg
103,03:39.93,219.93,6598,frame-103_03m39.93s.jpg
104,03:42.83,222.83,6685,frame-104_03m42.83s.jpg
105,03:43.97,223.97,6719,frame-105_03m43.97s.jpg
106,03:47.07,227.07,6812,frame-106_03m47.07s.jpg
107,03:47.30,227.30,6819,frame-107_03m47.30s.jpg
108,03:47.73,227.73,6832,frame-108_03m47.73s.jpg
109,03:48.90,228.90,6867,frame-109_03m48.90s.jpg
110,03:50.60,230.60,6918,frame-110_03m50.60s.jpg
111,03:50.93,230.93,6928,frame-111_03m50.93s.jpg
112,03:51.23,231.23,6937,frame-112_03m51.23s.jpg
113,03:51.63,231.63,6949,frame-113_03m51.63s.jpg
114,03:51.90,231.90,6957,frame-114_03m51.90s.jpg
115,03:52.27,232.27,6968,frame-115_03m52.27s.jpg
116,03:53.00,233.00,6990,frame-116_03m53.00s.jpg
117,03:53.60,233.60,7008,frame-117_03m53.60s.jpg
118,03:53.70,233.70,7011,frame-118_03m53.70s.jpg
119,03:55.10,235.10,7053,frame-119_03m55.10s.jpg
120,03:58.63,238.63,7159,frame-120_03m58.63s.jpg
121,04:02.63,242.63,7279,frame-121_04m02.63s.jpg
122,04:03.77,243.77,7313,frame-122_04m03.77s.jpg
123,04:04.77,244.77,7343,frame-123_04m04.77s.jpg
124,04:06.27,246.27,7388,frame-124_04m06.27s.jpg
125,04:07.37,247.37,7421,frame-125_04m07.37s.jpg
126,04:08.77,248.77,7463,frame-126_04m08.77s.jpg
127,04:11.33,251.33,7540,frame-127_04m11.33s.jpg
128,04:12.30,252.30,7569,frame-128_04m12.30s.jpg
129,04:13.70,253.70,7611,frame-129_04m13.70s.jpg
130,04:15.03,255.03,7651,frame-130_04m15.03s.jpg
131,04:16.53,256.53,7696,frame-131_04m16.53s.jpg
132,04:19.60,259.60,7788,frame-132_04m19.60s.jpg
133,04:25.37,265.37,7961,frame-133_04m25.37s.jpg
134,04:25.73,265.73,7972,frame-134_04m25.73s.jpg
135,04:26.20,266.20,7986,frame-135_04m26.20s.jpg
136,04:26.53,266.53,7996,frame-136_04m26.53s.jpg
137,04:27.37,267.37,8021,frame-137_04m27.37s.jpg
138,04:28.77,268.77,8063,frame-138_04m28.77s.jpg
139,04:32.90,272.90,8187,frame-139_04m32.90s.jpg
140,04:37.37,277.37,8321,frame-140_04m37.37s.jpg
141,04:39.50,279.50,8385,frame-141_04m39.50s.jpg
142,04:44.33,284.33,8530,frame-142_04m44.33s.jpg
143,04:47.80,287.80,8634,frame-143_04m47.80s.jpg
144,04:49.27,289.27,8678,frame-144_04m49.27s.jpg
145,04:50.57,290.57,8717,frame-145_04m50.57s.jpg
