frame,timestamp,seconds,source_video_frame,file
1,00:00.00,0.00,0,frame-001_00m00.00s.jpg
2,00:01.20,1.20,36,frame-002_00m01.20s.jpg
3,00:02.20,2.20,66,frame-003_00m02.20s.jpg
4,00:03.07,3.07,92,frame-004_00m03.07s.jpg
5,00:04.23,4.23,127,frame-005_00m04.23s.jpg
6,00:04.93,4.93,148,frame-006_00m04.93s.jpg
7,00:06.13,6.13,184,frame-007_00m06.13s.jpg
8,00:07.30,7.30,219,frame-008_00m07.30s.jpg
9,00:08.53,8.53,256,frame-009_00m08.53s.jpg
10,00:08.73,8.73,262,frame-010_00m08.73s.jpg
11,00:09.33,9.33,280,frame-011_00m09.33s.jpg
12,00:10.03,10.03,301,frame-012_00m10.03s.jpg
13,00:11.07,11.07,332,frame-013_00m11.07s.jpg
14,00:13.77,13.77,413,frame-014_00m13.77s.jpg
15,00:15.13,15.13,454,frame-015_00m15.13s.jpg
16,00:16.77,16.77,503,frame-016_00m16.77s.jpg
17,00:18.33,18.33,550,frame-017_00m18.33s.jpg
18,00:20.60,20.60,618,frame-018_00m20.60s.jpg
19,00:21.77,21.77,653,frame-019_00m21.77s.jpg
20,00:23.07,23.07,692,frame-020_00m23.07s.jpg
21,00:24.23,24.23,727,frame-021_00m24.23s.jpg
22,00:25.47,25.47,764,frame-022_00m25.47s.jpg
23,00:26.47,26.47,794,frame-023_00m26.47s.jpg
24,00:28.00,28.00,840,frame-024_00m28.00s.jpg
25,00:28.03,28.03,841,frame-025_00m28.03s.jpg
26,00:29.30,29.30,879,frame-026_00m29.30s.jpg
27,00:30.30,30.30,909,frame-027_00m30.30s.jpg
28,00:32.17,32.17,965,frame-028_00m32.17s.jpg
29,00:34.13,34.13,1024,frame-029_00m34.13s.jpg
30,00:35.03,35.03,1051,frame-030_00m35.03s.jpg
31,00:37.27,37.27,1118,frame-031_00m37.27s.jpg
32,00:38.43,38.43,1153,frame-032_00m38.43s.jpg
33,00:40.80,40.80,1224,frame-033_00m40.80s.jpg
34,00:42.53,42.53,1276,frame-034_00m42.53s.jpg
35,00:44.70,44.70,1341,frame-035_00m44.70s.jpg
36,00:47.60,47.60,1428,frame-036_00m47.60s.jpg
37,00:48.87,48.87,1466,frame-037_00m48.87s.jpg
38,00:49.80,49.80,1494,frame-038_00m49.80s.jpg
39,00:50.40,50.40,1512,frame-039_00m50.40s.jpg
40,00:51.77,51.77,1553,frame-040_00m51.77s.jpg
41,00:54.23,54.23,1627,frame-041_00m54.23s.jpg
42,00:56.20,56.20,1686,frame-042_00m56.20s.jpg
43,00:57.57,57.57,1727,frame-043_00m57.57s.jpg
44,00:58.60,58.60,1758,frame-044_00m58.60s.jpg
45,00:59.80,59.80,1794,frame-045_00m59.80s.jpg
46,01:00.83,60.83,1825,frame-046_01m00.83s.jpg
47,01:02.77,62.77,1883,frame-047_01m02.77s.jpg
48,01:04.07,64.07,1922,frame-048_01m04.07s.jpg
49,01:05.70,65.70,1971,frame-049_01m05.70s.jpg
50,01:06.73,66.73,2002,frame-050_01m06.73s.jpg
51,01:07.90,67.90,2037,frame-051_01m07.90s.jpg
52,01:09.83,69.83,2095,frame-052_01m09.83s.jpg
53,01:11.23,71.23,2137,frame-053_01m11.23s.jpg
54,01:12.33,72.33,2170,frame-054_01m12.33s.jpg
55,01:14.03,74.03,2221,frame-055_01m14.03s.jpg
56,01:15.90,75.90,2277,frame-056_01m15.90s.jpg
57,01:17.43,77.43,2323,frame-057_01m17.43s.jpg
58,01:19.07,79.07,2372,frame-058_01m19.07s.jpg
59,01:21.17,81.17,2435,frame-059_01m21.17s.jpg
60,01:23.57,83.57,2507,frame-060_01m23.57s.jpg
61,01:26.80,86.80,2604,frame-061_01m26.80s.jpg
62,01:27.77,87.77,2633,frame-062_01m27.77s.jpg
63,01:29.63,89.63,2689,frame-063_01m29.63s.jpg
64,01:31.60,91.60,2748,frame-064_01m31.60s.jpg
65,01:32.73,92.73,2782,frame-065_01m32.73s.jpg
66,01:34.50,94.50,2835,frame-066_01m34.50s.jpg
67,01:36.07,96.07,2882,frame-067_01m36.07s.jpg
68,01:37.67,97.67,2930,frame-068_01m37.67s.jpg
69,01:39.60,99.60,2988,frame-069_01m39.60s.jpg
70,01:40.77,100.77,3023,frame-070_01m40.77s.jpg
71,01:42.00,102.00,3060,frame-071_01m42.00s.jpg
72,01:43.47,103.47,3104,frame-072_01m43.47s.jpg
73,01:44.53,104.53,3136,frame-073_01m44.53s.jpg
74,01:45.93,105.93,3178,frame-074_01m45.93s.jpg
75,01:46.63,106.63,3199,frame-075_01m46.63s.jpg
76,01:47.57,107.57,3227,frame-076_01m47.57s.jpg
77,01:48.43,108.43,3253,frame-077_01m48.43s.jpg
78,01:49.43,109.43,3283,frame-078_01m49.43s.jpg
79,01:50.93,110.93,3328,frame-079_01m50.93s.jpg
80,01:52.80,112.80,3384,frame-080_01m52.80s.jpg
81,01:54.27,114.27,3428,frame-081_01m54.27s.jpg
82,01:55.10,115.10,3453,frame-082_01m55.10s.jpg
83,01:56.80,116.80,3504,frame-083_01m56.80s.jpg
84,01:58.27,118.27,3548,frame-084_01m58.27s.jpg
85,01:58.87,118.87,3566,frame-085_01m58.87s.jpg
86,01:59.63,119.63,3589,frame-086_01m59.63s.jpg
87,02:00.77,120.77,3623,frame-087_02m00.77s.jpg
88,02:01.70,121.70,3651,frame-088_02m01.70s.jpg
89,02:02.67,122.67,3680,frame-089_02m02.67s.jpg
90,02:05.83,125.83,3775,frame-090_02m05.83s.jpg
91,02:07.33,127.33,3820,frame-091_02m07.33s.jpg
92,02:08.53,128.53,3856,frame-092_02m08.53s.jpg
93,02:10.63,130.63,3919,frame-093_02m10.63s.jpg
94,02:12.90,132.90,3987,frame-094_02m12.90s.jpg
95,02:14.17,134.17,4025,frame-095_02m14.17s.jpg
96,02:16.03,136.03,4081,frame-096_02m16.03s.jpg
97,02:16.97,136.97,4109,frame-097_02m16.97s.jpg
98,02:17.90,137.90,4137,frame-098_02m17.90s.jpg
99,02:18.80,138.80,4164,frame-099_02m18.80s.jpg
100,02:20.27,140.27,4208,frame-100_02m20.27s.jpg
101,02:23.13,143.13,4294,frame-101_02m23.13s.jpg
102,02:25.00,145.00,4350,frame-102_02m25.00s.jpg
103,02:27.50,147.50,4425,frame-103_02m27.50s.jpg
104,02:30.20,150.20,4506,frame-104_02m30.20s.jpg
105,02:31.40,151.40,4542,frame-105_02m31.40s.jpg
106,02:34.83,154.83,4645,frame-106_02m34.83s.jpg
107,02:36.40,156.40,4692,frame-107_02m36.40s.jpg
108,02:38.57,158.57,4757,frame-108_02m38.57s.jpg
109,02:40.13,160.13,4804,frame-109_02m40.13s.jpg
110,02:42.03,162.03,4861,frame-110_02m42.03s.jpg
111,02:44.10,164.10,4923,frame-111_02m44.10s.jpg
112,02:45.53,165.53,4966,frame-112_02m45.53s.jpg
113,02:48.43,168.43,5053,frame-113_02m48.43s.jpg
114,02:50.57,170.57,5117,frame-114_02m50.57s.jpg
115,02:52.07,172.07,5162,frame-115_02m52.07s.jpg
116,02:54.97,174.97,5249,frame-116_02m54.97s.jpg
117,02:56.00,176.00,5280,frame-117_02m56.00s.jpg
118,02:57.73,177.73,5332,frame-118_02m57.73s.jpg
119,02:58.97,178.97,5369,frame-119_02m58.97s.jpg
120,03:00.33,180.33,5410,frame-120_03m00.33s.jpg
121,03:02.17,182.17,5465,frame-121_03m02.17s.jpg
122,03:04.17,184.17,5525,frame-122_03m04.17s.jpg
123,03:05.57,185.57,5567,frame-123_03m05.57s.jpg
124,03:07.93,187.93,5638,frame-124_03m07.93s.jpg
125,03:10.13,190.13,5704,frame-125_03m10.13s.jpg
126,03:12.20,192.20,5766,frame-126_03m12.20s.jpg
127,03:14.43,194.43,5833,frame-127_03m14.43s.jpg
128,03:16.77,196.77,5903,frame-128_03m16.77s.jpg
129,03:19.67,199.67,5990,frame-129_03m19.67s.jpg
130,03:23.90,203.90,6117,frame-130_03m23.90s.jpg
131,03:25.40,205.40,6162,frame-131_03m25.40s.jpg
132,03:27.67,207.67,6230,frame-132_03m27.67s.jpg
133,03:30.03,210.03,6301,frame-133_03m30.03s.jpg
134,03:33.03,213.03,6391,frame-134_03m33.03s.jpg
135,03:35.40,215.40,6462,frame-135_03m35.40s.jpg
136,03:37.80,217.80,6534,frame-136_03m37.80s.jpg
137,03:40.93,220.93,6628,frame-137_03m40.93s.jpg
138,03:43.60,223.60,6708,frame-138_03m43.60s.jpg
139,03:46.40,226.40,6792,frame-139_03m46.40s.jpg
140,03:48.27,228.27,6848,frame-140_03m48.27s.jpg
141,03:50.13,230.13,6904,frame-141_03m50.13s.jpg
142,03:52.20,232.20,6966,frame-142_03m52.20s.jpg
143,03:54.63,234.63,7039,frame-143_03m54.63s.jpg
144,03:56.60,236.60,7098,frame-144_03m56.60s.jpg
145,03:58.17,238.17,7145,frame-145_03m58.17s.jpg
146,04:01.70,241.70,7251,frame-146_04m01.70s.jpg
147,04:03.50,243.50,7305,frame-147_04m03.50s.jpg
148,04:05.80,245.80,7374,frame-148_04m05.80s.jpg
149,04:09.23,249.23,7477,frame-149_04m09.23s.jpg
150,04:13.07,253.07,7592,frame-150_04m13.07s.jpg
151,04:14.13,254.13,7624,frame-151_04m14.13s.jpg
152,04:18.17,258.17,7745,frame-152_04m18.17s.jpg
153,04:19.77,259.77,7793,frame-153_04m19.77s.jpg
154,04:21.80,261.80,7854,frame-154_04m21.80s.jpg
155,04:23.67,263.67,7910,frame-155_04m23.67s.jpg
156,04:25.97,265.97,7979,frame-156_04m25.97s.jpg
157,04:27.23,267.23,8017,frame-157_04m27.23s.jpg
158,04:28.37,268.37,8051,frame-158_04m28.37s.jpg
159,04:29.73,269.73,8092,frame-159_04m29.73s.jpg
160,04:32.87,272.87,8186,frame-160_04m32.87s.jpg
161,04:35.37,275.37,8261,frame-161_04m35.37s.jpg
162,04:36.63,276.63,8299,frame-162_04m36.63s.jpg
163,04:39.57,279.57,8387,frame-163_04m39.57s.jpg
164,04:40.90,280.90,8427,frame-164_04m40.90s.jpg
165,04:42.17,282.17,8465,frame-165_04m42.17s.jpg
166,04:44.80,284.80,8544,frame-166_04m44.80s.jpg
167,04:46.57,286.57,8597,frame-167_04m46.57s.jpg
168,04:48.60,288.60,8658,frame-168_04m48.60s.jpg
